"ID","CREATOR_ID","MEETING_NAME","MEETING_NECESSARY_FLAG","MEETING_DAY","MEETING_ROOM","MEETING_MEMO","MEETING_DEADLINE_DAY"
"1","1","テスト会議","false","2014/01/01 17:06:00.0","231","誕生日会","2013/01/01 10:00:00.0"
"2","1","前期総会編集","false","2013/12/31 17:06:00.0","245","前期の総会","2013/01/03 09:00:00.0"
"3","1","後期総会","false","2014/04/11 17:06:25.0","341","後期の総会","2014/01/01 09:00:00.0"
"4","1","総会飲み会","true","2014/04/11 15:58:54.0","かまどか","総会後の飲み会：一人3000円","2014/04/11 15:58:54.0"
"5","1","テスト会議","true","2013/01/19 10:00:00.0","231","小林さんの誕生日","2013/01/19 10:00:00.0"
"6","1","テスト会議","true","2013/01/19 10:00:00.0","245","小林さんの誕生日","2013/01/19 10:00:00.0"
"7","1","テスト会議","false","2013/01/19 10:00:00.0","231","誕生日会","2013/01/19 10:00:00.0"
"8","1","test会議1736","false","2013/01/19 10:00:00.0","231","誕生日会","2013/01/19 10:00:00.0"
"9","1","test会議1737","true","2013/01/19 10:00:00.0","231","誕生日会","2013/01/19 10:00:00.0"
"10","1","小林さん誕生日会","false","2014/04/11 20:02:17.0","","小林さんの誕生日","2013/01/19 09:00:00.0"
"11","1","テスト会議2005","false","2014/04/12 00:20:04.0","","総会後の飲み会：一人3000円","2013/01/19 10:00:00.0"
