"ID","MAIL_ID","MEMBER_ID"
"1","1","13"
"2","2","13"
"3","3","13"
"4","4","13"
"5","4","15"
"6","5","13"
"7","5","15"
"8","6","13"
"9","7","13"
"10","7","15"
"11","8","13"
"12","8","15"
"13","9","13"
"14","9","15"
"15","10","1"
"16","10","2"
"17","10","3"
"18","10","15"
"19","10","20"
"20","10","22"
"21","11","15"
"22","12","13"
"23","12","13"
"24","12","15"
"25","13","13"
"26","13","7"
"27","13","17"
"28","14","13"
"29","15","13"
"30","15","15"
"31","16","17"
"32","16","7"
"33","16","13"
"34","16","15"
"35","17","15"
"36","17","13"
"37","18","15"
"38","18","13"
