"ID","MEMBER_ID","CLUB_ID"
"4","4","1"
"8","8","1"
"9","9","1"
"10","10","1"
"22","14","2"
"23","14","10"
"24","14","1"
"35","5","1"
"36","5","2"
"37","5","12"
"48","16","1"
"49","16","10"
"50","17","10"
"51","17","1"
"52","16","14"
"56","18","2"
"57","18","14"
"58","18","15"
"59","6","1"
"60","6","2"
"61","6","10"
"62","6","15"
"69","19","2"
"88","12","1"
"89","12","2"
"90","12","10"
"91","7","1"
"98","13","1"
"99","13","2"
"100","15","2"
"101","15","10"
"102","22","17"
"103","22","1"
"104","22","2"
"105","22","10"
"106","20","16"
"107","20","1"
"108","20","12"
"109","20","14"
"110","1","16"
"111","1","1"
"112","1","2"
"113","1","10"
"114","1","12"
"115","1","14"
"116","1","15"
"117","2","1"
"118","2","8"
"119","2","10"
"120","3","1"
"121","15","18"
"122","22","19"
"123","23","1"
