"ID","PARTY_ID","MEMBER_ID","ATTEND"
"1","1","1","true"
"2","1","2","false"
"3","1","3","false"
"4","3","4","false"
"5","3","1","false"
"6","1","4","false"
"7","2","2","false"
"8","12","13","true"
"9","13","12","true"
"10","13","5","false"
"11","13","4","false"
"12","13","9","false"
"14","13","10","true"
"15","13","7","true"
"16","12","7","false"
"17","6","13","true"
"18","7","1","false"
"19","8","1","true"
"20","2","1","true"
"21","13","13","true"
"22","13","14","true"
"23","13","11","true"
"24","13","3","true"
"25","13","2","true"
"26","14","13","true"
"30","14","3","true"
"31","14","2","true"
"32","14","6","false"
"33","14","5","false"
"34","15","7","true"
"35","15","12","false"
"36","15","3","false"
"37","15","2","false"
"38","15","10","false"
"39","15","18","true"
"40","15","15","false"
"41","15","16","true"
"42","15","13","true"
"43","15","14","true"
"44","15","11","true"
"45","15","17","false"
"49","15","4","false"
"50","15","9","false"
"51","15","8","false"
"54","16","15","true"
"57","16","14","false"
"62","16","3","true"
"64","16","1","true"
"67","16","22","true"
"68","16","10","true"
"70","16","9","false"
"71","16","8","false"
"72","16","7","true"
"73","16","23","false"
"74","18","27","true"
"76","29","7","false"
"81","31","31","true"
"82","29","31","false"
