"ID","ERROR_FLAG","CONTENT","TITLE","REGIST_MEMBER_ID"
"1",,"初めてのメール送信てすとです","メール送信テスト","7"
"2",,"メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
","メールの送信テスト","7"
"3",,"メールの送信テスト３
メールの送信テスト３
メールの送信テスト３
メールの送信テスト３","メールの送信テスト","7"
"4",,"メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４","メールの送信てすと","7"
"5",,"メールの送信テスト５
メールの送信テスト５
メールの送信テスト５
メールの送信テスト５


メールの送信テスト５
メールの送信テスト５


メールの送信テスト５

メールの送信テスト５","メールの送信テスト","7"
"6",,"asdfasdf","メールの送信てすと","7"
"7",,"メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」","メールの送信テスト「５月の飲み会のお知らせ」","14"
"8",,"「前期総会のお知らせ」
「前期総会のお知らせ」「前期総会のお知らせ」
「前期総会のお知らせ」
「前期総会のお知らせ」
「前期総会のお知らせ」「前期総会のお知らせ」
「前期総会のお知らせ」","「前期総会のお知らせ」","7"
"9",,"メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
","メールの送信テスト「５月の飲み会のお知らせ」","7"
"10",,"メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
","メールの送信テスト","7"
"11",,"あああ","メールの送信てすと","7"
"12",,"test","test","7"
"13",,"aaa","会議新規登録によるメールの配信テスト","7"
"14",,"不達テストです","test","7"
"15",,"test","test","23"
"16",,"tetete","tet","28"
