"ID","CLUB_ID","MEMBER_ID"
"4","1","4"
"8","1","8"
"9","1","9"
"10","1","10"
"48","1","16"
"49","10","16"
"50","10","17"
"51","1","17"
"52","14","16"
"56","2","18"
"57","14","18"
"58","15","18"
"59","1","6"
"60","2","6"
"61","10","6"
"62","15","6"
"69","2","19"
"91","1","7"
"98","1","13"
"99","2","13"
"100","2","15"
"101","10","15"
"106","16","20"
"107","1","20"
"108","12","20"
"109","14","20"
"110","16","1"
"111","1","1"
"112","2","1"
"113","10","1"
"114","12","1"
"115","14","1"
"116","15","1"
"117","1","2"
"118","8","2"
"119","10","2"
"121","18","15"
"123","1","23"
"124","8","3"
"125","2","24"
"126","10","24"
"128","10","25"
"131","10","27"
"136","2","26"
"137","10","26"
"138","2","14"
"139","10","14"
"140","20","27"
"142","2","22"
"143","21","22"
"144","10","22"
"151","2","12"
"152","10","12"
"153","2","5"
"154","12","5"
"155","21","29"
"156","20","30"
"161","21","7"
"162","12","28"
"167","2","32"
"168","10","32"
"169","2","33"
"171","2","31"
