"ID","DELETE_FLAG","CLUB_MEMO","LEADERS_ID","CLUB_NAME"
"1","true","プログラミングをするための部","4","prog部"
"2","false","自ら情報発信するための技術を磨く。
これがWebPage部の目指す努力目標です。
HTMLデザインやサーバサイドプログラミングといったソフト面から、ネットワーク関連技術を含めたハード面まで様々な可能性を追求していきましょう。","5","web部"
"8","true","CGを主に描くことを目的とするが2次元的な絵も描く",,"CG部"
"10","true","音楽を作ってる部",,"DTM部"
"12","true","パソコンの自作を行っている部",,"自作部"
"14","true","麻雀をするためだけの部","9","麻雀部"
"15","true","いぐいぐ愛でる部活","7","生物部"
"16","true","ますだの変態性を研究する部","11","マスダ部"
"17","true","栄養管理士を目指す部活","12","栄養管理部"
"18","true","漫画の研究をする部

漫画","13","漫画部"
"19","true","帰宅するだけのぶ

帰宅部","14","帰宅部"
"20","true","藤宮さん",,"藤宮部"
"21","true","偽りのカップルを演じる部",,"ニセコイ部"
"22","true","ぺちゃ",,"ぺちゃ"
"23","true","新規の部１",,"新規の部１"
"24","true","新規の部２",,"新規部2"
"25","true","あああああ",,"新規の部３"
"26","true","メールのテスト",,"メールテスト"
"27","false","コンピューターで最も見た目華やかな分野
Computer Graphics
そんなCGの世界を是非覗いてみてください。
私たち神楽坂一丁目通信局CG部は2D,3DCGを通し、あらゆる可能性を表現していくつもりです。","23","CG部"
"28","false","コンピュータを自分の思い通りに動かす！
これが実現できます。
基礎はやる気さえあれば誰にでも出来ますし、そのお手伝いもします。
あとは自分の道を突き進んでください。","24","Prog部"
"29","false","DTMとは、「 DeskTop Music 」の略です。
なんか難しそうですが、つまりはパソコンで音楽を作る部です。
パソコンで音楽を作ることをDTM、デスクトップミュージックと言い、 クラシックからジャズ、ポップス、ハードロック、トランスまで、 あらゆるジャンルの曲を自由に作ることができます。
誰でも手軽に始めることができるので、ぜひあなたもパソコンで自分の音楽を 作ってみませんか？","25","DTM"
"30","false","自作部は部室のＰＣの保守等をすることを通して、ハードウェアに対する知識を身につけていくことを目的とした部です。
他の部との兼部を前提としており、活動も部の性質上控えめな頻度で行っています。","26","自作部"
